OriginalName,AuthorID,Domain,Num
"Von Hippel, William",6603946209,Implicit Attitude; Implicit Measures; Avoidance Conditioning,2
"Von Hippel, William",6603946209,Emotion; Dictator Game; Prosocial Behavior,2
"Von Hippel, William",6603946209,Punishment; Ultimatum Game; Guilt Aversion,1
"Von Hippel, William",6603946209,Stigma; Mental Patient; Stereotyping,1
"Von Hippel, William",6603946209,Evolution of Cooperation; Cooperative Behavior; Public Goods Game,1
"Von Hippel, William",6603946209,Psychoanalysis; Intersubjective; Analysts,1
"Von Hippel, William",6603946209,Sex Characteristics; Mate Choice; Evolutionary Psychology,1
"Von Hippel, William",6603946209,Negotiation Style; Conflict Management; Emotion,1
"Von Hippel, William",6603946209,Radicalization; Attack; Counterterrorism,1
"Von Hippel, William",6603946209,Traumatic Brain Injury; Preschool Children; Family Functioning,1
"Von Hippel, William",6603946209,Cultural Evolution; Social Learning; Animals,1
"Von Hippel, William",6603946209,Theory of Mind; Schizophrenia; Emotion Recognition,1
"Von Hippel, William",6603946209,Exercise; Sitting Position; Office Workers,1
"Von Hippel, William",6603946209,Narcissism; Personality Disorders; Entitlement,1
"Von Hippel, William",6603946209,Cognition; Pan Troglodytes; Gestural Communication,1
"Von Hippel, William",6603946209,Stereotype Threat; Scanning Transmission Electron Microscopy; Competence Beliefs,1
"Von Hippel, William",6603946209,Distance Perception; Virtual Reality; Helmet Mounted Displays,1
"Von Hippel, William",6603946209,Hunter-gatherers; Grandparents; Biological Evolution,1
"Von Hippel, William",6603946209,Risk Perception; Belief Updating; Optimism,1
"Von Hippel, William",6603946209,Empathy; Medical Students; Perspective Taking,1
"Von Hippel, William",6603946209,Iterated Learning; Evolution of Language; Communication,1
"Von Hippel, William",6603946209,Shame; Guilt; Emotion,1
"Von Hippel, William",6603946209,Welfare Worker; Child Protection; Personnel,1
"Von Hippel, William",6603946209,Happiness; Eudaimonia; Psychological Well-Being,1
"Von Hippel, William",6603946209,Affective Forecasting; Happiness; Emotion,1
"Von Hippel, William",6603946209,Disgust; Outgroup; Immune System,1
"Trivers, Robert",6602599122,Digits; Second-To-Fourth Digit Ratio; Photocopy,5
"Trivers, Robert",6602599122,Sex Characteristics; Mate Choice; Evolutionary Psychology,2
"Trivers, Robert",6602599122,Negotiation Style; Conflict Management; Emotion,1
"Trivers, Robert",6602599122,Cognitive Science of Religion; Economic Beliefs; Cultural Background,1
"Trivers, Robert",6602599122,Distance Perception; Virtual Reality; Helmet Mounted Displays,1
"Trivers, Robert",6602599122,Gambusia Holbrooki; Mosquito Control; Fish,1
"Mercier, Hugo",15058239700,Conditional; Belief Bias; Dual Process Theory,8
"Mercier, Hugo",15058239700,Imitation; Social Learning; Preschool Children,8
"Mercier, Hugo",15058239700,Cultural Evolution; Social Learning; Animals,3
"Mercier, Hugo",15058239700,Vaccine Hesitancy; Measles; Anti-Vaccination Movement,2
"Mercier, Hugo",15058239700,Scalar Implicature; Negation; Presupposition,2
"Mercier, Hugo",15058239700,Punishment; Ultimatum Game; Guilt Aversion,1
"Mercier, Hugo",15058239700,Theory of Mind; Preschool Children; Mindreading,1
"Mercier, Hugo",15058239700,Moral Judgement; Emotion; Disgust,1
"Mercier, Hugo",15058239700,Gender Stereotypes; Preschool Children; Group Norm,1
"Mercier, Hugo",15058239700,Cognitive Science of Religion; Economic Beliefs; Cultural Background,1
"Mercier, Hugo",15058239700,News Media; Framing; Journalism,1
"Mercier, Hugo",15058239700,Risk Perception; Belief Updating; Optimism,1
"Mercier, Hugo",15058239700,Group Processes; Group Decision Making; Demonstrability,1
"Mercier, Hugo",15058239700,Counterfactual Thinking; Regret Theory; Decision Making,1
"Mercier, Hugo",15058239700,Enactivism; Neurophenomenology; Emotion,1
"Mercier, Hugo",15058239700,Object Permanence; Infant Perception; Child Development,1
"Mercier, Hugo",15058239700,Cheap Talk; Persuasion; Recipient,1
"Mercier, Hugo",15058239700,Rumor; Social Media; Disinformation,1
"Mercier, Hugo",15058239700,Morality; Stereotypy; Communion,1
"Mercier, Hugo",15058239700,Condorcet Jury Theorem; Epistemic Democracy; Voters,1
"Mercier, Hugo",15058239700,Wildlife; Poaching; Illegal,1
"Mercier, Hugo",15058239700,Property Rights; Possession; Disgust,1
"Mercier, Hugo",15058239700,Advice; Wisdom; Crowds,1
"Mercier, Hugo",15058239700,Democracy; Villain; Charter Schools,1
"Sperber, Dan",6701821784,Conditional; Belief Bias; Dual Process Theory,3
"Sperber, Dan",6701821784,Imitation; Social Learning; Preschool Children,3
"Sperber, Dan",6701821784,Cultural Evolution; Social Learning; Animals,2
"Sperber, Dan",6701821784,Theory of Mind; Preschool Children; Mindreading,1
"Sperber, Dan",6701821784,Electroencephalogram; Left Anterior Negativity; Syntactic Processing,1
"Sperber, Dan",6701821784,Music; Finger Tapping; Beat Induction,1
"Sperber, Dan",6701821784,Cognitive Science of Religion; Economic Beliefs; Cultural Background,1
"Sperber, Dan",6701821784,Hospitality; Tourism and Hospitality; Hospitality Management,1
"Sperber, Dan",6701821784,Iterated Learning; Evolution of Language; Communication,1
"Sperber, Dan",6701821784,Epigenetics; Developmental Systems Theory; Evolutionary Developmental Biology,1
"Sperber, Dan",6701821784,Aesthetic Preference; Cheek; Functional Laterality,1
"Sperber, Dan",6701821784,Bioethical Issues; Transhumanism; John Harris,1
"Sperber, Dan",6701821784,Cultural Policy; Artist; Willingness to Pay,1
"Carey, Susan",7103028874,Theory of Mind; Preschool Children; Mindreading,3
"Carey, Susan",7103028874,Numerosity; Number Line; Approximate,3
"Carey, Susan",7103028874,Columbidae; Abstract Concepts; Animals,3
"Carey, Susan",7103028874,Change Blindness; Eye Movements; Long-Term Memory,2
"Carey, Susan",7103028874,Concept Formation; Bare Plurals; Truth Conditions,2
"Carey, Susan",7103028874,Language Development; Verbs; First Language Acquisition,1
"Carey, Susan",7103028874,Scalar Implicature; Negation; Presupposition,1
"Carey, Susan",7103028874,Cognition; Pan Troglodytes; Gestural Communication,1
"Carey, Susan",7103028874,Executive Function; School Readiness; Preschool Children,1
"Carey, Susan",7103028874,Consciousness; Physicalism; David Chalmers,1
"Carey, Susan",7103028874,Tanna; Living Things; Preschool Children,1
"Carey, Susan",7103028874,Egocentrism; Fable; Risk-Taking,1
"Jones, Matt",57212401671,Mental Recall; Testing Effect; Category Learning,2
"Jones, Matt",57212401671,Bell's Inequality; Contextuality; Nonlocality,1
"Jones, Matt",57212401671,Cues; Associative Strength; Extinction,1
"Jones, Matt",57212401671,Nocebo Effect; Placebos; Expectancy,1
"Jones, Matt",57212401671,Decision Making; Risk Preferences; Endowment Effect,1
"Jones, Matt",57212401671,Attention Deficit Hyperactivity Disorder; Executive Function; Neuropsychological Tests,1
"Jones, Matt",57212401671,Negativity; Evoked Potentials; Electroencephalogram,1
"Jones, Matt",57212401671,Stroop Test; Cognitive Control; Executive Function,1
"Jones, Matt",57212401671,Analogical Reasoning; Scientific Models; Analogies,1
"Jones, Matt",57212401671,Drift-Diffusion Model; Decision Making; Mathematical Psychology,1
"Jones, Matt",57212401671,Recognition Heuristic; Heuristics; Decision Strategy,1
"Jones, Matt",57212401671,Decision Making; Testing Hypotheses; Problem-Based Learning,1
"Jones, Matt",57212401671,Concordance; Clinical Decision Support; Artificial Intelligence,1
"Love, Bradley C.",7102112661,Category Learning; Concept Formation; Exemplar-Based,7
"Love, Bradley C.",7102112661,Magnetic Resonance Imaging; Prediction Error; Reward,6
"Love, Bradley C.",7102112661,Visual Cortex; Functional Magnetic Resonance Imaging; Brain Mapping,4
"Love, Bradley C.",7102112661,Drift-Diffusion Model; Decision Making; Mathematical Psychology,3
"Love, Bradley C.",7102112661,Object Detection; Deep Learning; IOU,2
"Love, Bradley C.",7102112661,Recognition Heuristic; Heuristics; Decision Strategy,2
"Love, Bradley C.",7102112661,Animals; Entorhinal Cortex; Cognitive Map,1
"Love, Bradley C.",7102112661,Preschool Children; Lexical Development; Mutual Exclusivity,1
"Love, Bradley C.",7102112661,Perirhinal Cortex; Medial Temporal Lobe; Hippocampus,1
"Love, Bradley C.",7102112661,Median Voter; Elections; Voters,1
"Love, Bradley C.",7102112661,Episodic Memory; Magnetic Resonance Imaging; Parietal Lobe,1
"Love, Bradley C.",7102112661,Mental Causation; Physicalism; Causal,1
"Love, Bradley C.",7102112661,Self Concept; Self-Reference; Theory of Mind,1
"Love, Bradley C.",7102112661,Reproducibility; Open Science; P-Value,1
"Love, Bradley C.",7102112661,Redistricting; Gerrymandering; Partisan,1
"Love, Bradley C.",7102112661,Cladistics; Homology; Parsimony Analysis,1
"Elqayam, Shira",22984837000,Conditional; Belief Bias; Dual Process Theory,5
"Elqayam, Shira",22984837000,Expected Utility Theory; Dual Processing; Decision Making,2
"Elqayam, Shira",22984837000,Practice Guidelines; Stakeholder Involvement; Best Practice,1
"Elqayam, Shira",22984837000,Introduction; Constructivism; International Relations,1
"Elqayam, Shira",22984837000,Young Adult; Feeling of Knowing; Metacognition,1
"Evans, Jonathan St. B. T.",55446598800,Conditional; Belief Bias; Dual Process Theory,11
"Evans, Jonathan St. B. T.",55446598800,Introduction; Constructivism; International Relations,1
"Müller, Christian P.",7404109791,Mitragyna; 7-Hydroxymitragynine; Morphinomimetic Agent,15
"Müller, Christian P.",7404109791,Ceramide; Sphingomyelin Phosphodiesterase; Dihydroceramide Desaturase,12
"Müller, Christian P.",7404109791,Alpha Synuclein; Lewy Bodies; Parkinson Disease,3
"Müller, Christian P.",7404109791,Nucleus Accumbens; Cocaine; Animals,3
"Müller, Christian P.",7404109791,Positron Emission Tomography; Corpus Striatum; Dopamine,2
"Müller, Christian P.",7404109791,Self Administration; Alcoholism; Corticotropin Releasing Factor,2
"Müller, Christian P.",7404109791,Calcium-Calmodulin-Dependent Protein Kinases; Human CAMK4 Protein; Animals,2
"Müller, Christian P.",7404109791,Ventral Tegmentum; Dopaminergic Nerve Cell; Animals,2
"Müller, Christian P.",7404109791,Reward; Bulimia; Binge-Eating Disorder,2
"Müller, Christian P.",7404109791,Digits; Second-To-Fourth Digit Ratio; Photocopy,2
"Müller, Christian P.",7404109791,Mental Disease; Dysbindin; Neurodevelopment,2
"Müller, Christian P.",7404109791,Cognitive Dysfunction; Ameroid; White Matter,2
"Müller, Christian P.",7404109791,Human EFHD2 Protein; Calcium Binding Protein; EF Hand Motif,2
"Müller, Christian P.",7404109791,Prescription Drug Monitoring Programs; Narcotic Analgesic Agent; Morphinomimetic Agent,1
"Müller, Christian P.",7404109791,Accidental Falls; Parkinson's Disease; Dual Task,1
"Müller, Christian P.",7404109791,Synthetic Cannabinoid; Mephedrone; 1-Pentyl-3-(1-Naphthoyl)Indole,1
"Müller, Christian P.",7404109791,Prepulse Inhibition; Startle Reflex; Sensory Gating,1
"Müller, Christian P.",7404109791,Animals; Ejaculation; Male Behavior,1
"Müller, Christian P.",7404109791,Guanine Nucleotide Binding Protein; Rat RXFP3 Protein; Leydig Insulin-Like Protein,1
"Müller, Christian P.",7404109791,Cultural Evolution; Social Learning; Animals,1
"Müller, Christian P.",7404109791,Involutional Depression; Tail Suspension Test; Inflammation,1
"Müller, Christian P.",7404109791,Risky Decision Making; Pathological Gambling; Reward,1
"Müller, Christian P.",7404109791,Mental Causation; Physicalism; Causal,1
"Müller, Christian P.",7404109791,Dopamine 3 Receptor; Naxagolide; Animals,1
"Müller, Christian P.",7404109791,Supplementation; Docosahexaenoic Acids; Attention Deficit Hyperactivity Disorder,1
"Müller, Christian P.",7404109791,Expectancy; Ethanol; Motives,1
"Müller, Christian P.",7404109791,Vocalization; Emotion; Pups,1
"Müller, Christian P.",7404109791,Cocaine; Sex Characteristics; Estradiol,1
"Müller, Christian P.",7404109791,Psychodysleptic; Psychedelic Agent; Lysergide,1
"Müller, Christian P.",7404109791,Righting Reflex; Alcohol Drinking; Blood Alcohol Content,1
"Müller, Christian P.",7404109791,Alcoholism; 4 Aminobutyric Acid B Receptor Stimulating Agent; Alcohol Abuse,1
"Müller, Christian P.",7404109791,Trisomy 2P Chromosome 2; Chromosome Deletion; Haploinsufficiency,1
"Müller, Christian P.",7404109791,Alcohol Abuse; Genome-Wide Association Study; Alcoholism,1
"Müller, Christian P.",7404109791,Alzheimer Disease; Schizophrenia; Neuropathology,1
"Schumann, Gunter",7103329271,Connectome; Functional Magnetic Resonance Imaging; Functional Connectivity,12
"Schumann, Gunter",7103329271,Neuroimaging; Connectome; Cortical Thickness,7
"Schumann, Gunter",7103329271,Attention Deficit Hyperactivity Disorder; Functional Connectivity; Parietal Lobe,6
"Schumann, Gunter",7103329271,Multifactorial Inheritance; Summary Statistic; Single Nucleotide Polymorphism,6
"Schumann, Gunter",7103329271,Korsakoff Syndrome; Alcohol Abuse; Alcoholism,5
"Schumann, Gunter",7103329271,Cocaine Dependence; Cocaine; Craving,5
"Schumann, Gunter",7103329271,Psychotic Disorders; Psychosis; Prodromal Symptoms,4
"Schumann, Gunter",7103329271,Magnetic Resonance Imaging; Diffusion Tensor Imaging; Cortical Thickness,4
"Schumann, Gunter",7103329271,Psychopathy; Conduct Disorder; Antisocial Behavior,3
"Schumann, Gunter",7103329271,Magnetic Resonance Imaging; Prediction Error; Reward,3
"Schumann, Gunter",7103329271,Medical Cannabis; Young Adult; Legalization,3
"Schumann, Gunter",7103329271,Delay Discounting; Reward; Impulsiveness,3
"Schumann, Gunter",7103329271,Intellectual Disability; Copy Number Variation; Chromosome 17Q21.31 Deletion Syndrome,3
"Schumann, Gunter",7103329271,Inhibitory Control; Proactive Inhibition; Electroencephalogram,3
"Schumann, Gunter",7103329271,Cannabis; Dronabinol; Young Adult,3
"Schumann, Gunter",7103329271,Autism; Autistic Disorder; Gene,3
"Schumann, Gunter",7103329271,Schizophrenia; Psychotic Disorders; White Matter,2
"Schumann, Gunter",7103329271,Cannabis; Psychotic Disorders; Dual (Psychiatry) Diagnosis,2
"Schumann, Gunter",7103329271,Attention Deficit Hyperactivity Disorder; Dopamine Plasma Membrane Transport Proteins; Gene,2
"Schumann, Gunter",7103329271,Risky Decision Making; Pathological Gambling; Reward,2
"Schumann, Gunter",7103329271,Posttraumatic Stress Disorder; Maltreatment; Amygdala,2
"Schumann, Gunter",7103329271,Reward; Bulimia; Binge-Eating Disorder,2
"Schumann, Gunter",7103329271,Anorexia Nervosa; Magnetic Resonance Imaging; Cognitive Remediation Therapy,2
"Schumann, Gunter",7103329271,DNA Methylation; Genetic Epigenesis; Epigenetics,2
"Schumann, Gunter",7103329271,Dopamine 2 Receptor; Gene; Polymorphism,2
"Schumann, Gunter",7103329271,Underage Drinking; Alcohol Consumption; Ethanol,2
"Schumann, Gunter",7103329271,Glucocorticoid Receptors; DNA; DNA Methylation,2
"Schumann, Gunter",7103329271,Big Data; Neurosciences; Medical Image Analysis,2
"Schumann, Gunter",7103329271,Cyberbullying; Crime Victims; Workplace Bullying,1
"Schumann, Gunter",7103329271,Image Registration; Atlases; Magnetic Resonance Imaging,1
"Schumann, Gunter",7103329271,Diffusion Weighted Imaging; White Matter; Magnetic Resonance Imaging,1
"Schumann, Gunter",7103329271,Fetal Alcohol Spectrum Disorders; Pregnancy; Binging,1
"Schumann, Gunter",7103329271,Ceramide; Sphingomyelin Phosphodiesterase; Dihydroceramide Desaturase,1
"Schumann, Gunter",7103329271,Anorexia Nervosa; Feeding and Eating Disorders; Avoidant Restrictive Food Intake Disorder,1
"Schumann, Gunter",7103329271,Greenspace; Green Infrastructure; National Parks,1
